,MAE,RMSE,MAPE,R2
hist_gradient_boosting,84.28676134607146,116.94730854375702,15.232516731655673,0.9635222117136752
xgboost,89.0230016260631,124.34781658813762,16.065154849365573,0.9587594580602485
lstm,84.1168212890625,127.07710580711421,17.85565185546875,0.9569292068481445
random_forest,96.86725166738317,143.27084737594933,16.037822671029584,0.9452525753057118
ridge,114.35195685115029,156.61302125549085,31.677129519298,0.9345810195732771
seasonal_naive,188.54343280745107,300.73629880974283,42.70500608979418,0.7587764320440747
