station_name,model,MAE,RMSE,MAPE,R2
Adams Mill & Columbia Rd NW,random_forest,1.7844394889555029,2.5716135104673397,84.5689711625396,0.12536163057252203
Adams Mill & Columbia Rd NW,hist_gradient_boosting,1.7540107721376546,2.544913691765562,80.87725030992965,0.1434292414168572
Adams Mill & Columbia Rd NW,xgboost,1.7683513749439654,2.555328572635725,80.9574290251801,0.1364039840271083
Lincoln Memorial,ridge,1.8306119552917435,2.9904730081710293,72.46349303110946,0.057676251782536436
Lincoln Memorial,random_forest,1.8184465945845674,2.983657118378417,78.01985469908813,0.061966847551911175
Lincoln Memorial,hist_gradient_boosting,1.712276602797832,2.8978240482799342,67.68262872641716,0.1151607337683277
Lincoln Memorial,xgboost,1.7450085328659197,2.922280534505384,68.8279553430615,0.10016232411653259
8th & O St NW,ridge,1.7386463972625517,2.450856858958256,85.96834947150631,0.14081642288313323
8th & O St NW,random_forest,1.6811880465905367,2.42822011104805,84.55137973052693,0.1566144107680486
8th & O St NW,hist_gradient_boosting,1.6510728431032733,2.398836274773186,81.01118534491309,0.17690249036186612
8th & O St NW,xgboost,1.6519049539806003,2.3751420685425444,81.22911724488135,0.19308227293997726
14th & Irving St NW,ridge,1.92109755639967,2.7487297200173932,83.06753843543795,0.03314186099183136
14th & Irving St NW,random_forest,1.8599659152191939,2.689043494551794,86.61751212182621,0.0746749169662485
14th & Irving St NW,hist_gradient_boosting,1.7972711158961432,2.627475859995554,79.54687719913781,0.11656184866281905
14th & Irving St NW,xgboost,1.8051301275668814,2.62522256780387,80.59663205807128,0.11807645113133391
15th & W St NW,ridge,1.8950636736244373,2.592114640223445,97.92639435111637,0.16920528811290025
15th & W St NW,random_forest,1.6844172756938867,2.3998642756624244,86.84238874396375,0.2878709942825921
15th & W St NW,hist_gradient_boosting,1.6501623127788398,2.359290602963556,81.50273812221549,0.3117468790136185
15th & W St NW,xgboost,1.6834138356323742,2.385804839647558,83.89552212389987,0.2961904685173973
17th & Corcoran St NW,ridge,1.902405097890718,2.6369465451484664,93.48572713359357,0.12372168304630371
17th & Corcoran St NW,random_forest,1.755036299578687,2.5554371253175114,84.19859153994499,0.17705689074008524
17th & Corcoran St NW,hist_gradient_boosting,1.7039931012983494,2.5045985834234172,78.28440811368806,0.20947488051606677
17th & Corcoran St NW,xgboost,1.7696981453338159,2.542815596110534,84.89089182664672,0.1851659924863044
Jefferson Dr & 14th St SW,ridge,1.7080457813590926,2.8290184631263577,68.96310025418879,0.04936780900748339
Jefferson Dr & 14th St SW,random_forest,1.7025207019242132,2.7611144975846544,79.88091582324962,0.09445552420096492
Jefferson Dr & 14th St SW,hist_gradient_boosting,1.6213985231765349,2.691039058239224,71.13230558636283,0.13983660774967865
Jefferson Dr & 14th St SW,xgboost,1.638026723328789,2.704731655141977,70.83919529674701,0.13106093817420217
4th & Florida Ave NE,ridge,1.7554945662045207,2.519790874545352,78.35461643091715,0.04124592921602421
4th & Florida Ave NE,random_forest,1.7479353633028079,2.5183526220536057,80.39820879278626,0.04234009691901508
4th & Florida Ave NE,hist_gradient_boosting,1.7233916952730943,2.495738011626378,76.95330993528813,0.059462294882996924
4th & Florida Ave NE,xgboost,1.730216756177456,2.4947572652925567,77.71287007967678,0.06020135295646656
11th & M St NW,ridge,1.820930822301524,2.5079193429839446,91.03854809035367,0.25270176427609015
11th & M St NW,random_forest,1.6990865895730702,2.403542888422582,87.40793866934133,0.31361058292493116
11th & M St NW,hist_gradient_boosting,1.6540658507572068,2.3598974681029046,81.70650509853218,0.3383122485624719
11th & M St NW,xgboost,1.6848426819263398,2.372687800408484,84.20391592703574,0.3311202912273937
4th St & Madison Dr NW,ridge,2.069658377472458,3.2477731079498566,90.60761515095042,0.15364121980067436
4th St & Madison Dr NW,random_forest,1.864297445709725,3.1096327063618485,83.83327101556611,0.22410789649023788
